Code;Municipality;Species;Trophic guild;Group;THg;NT;d15N;CT;d13C
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;109.715.624;2.572;443.785.051;-37.811
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;104.954.209;6.772;415.378.918;-30.548
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;116.486.494;3.667;403.657.132;-33.526
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;109.225.982;3.827;484.305.708;-34.604
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;114.344.838;3.29;471.948.853;-34.511
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;17.746.686;7.522;132.380.983;-13.89
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;124.671.375;6.498;423.427.465;-30.4
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;108.242.896;2.196;480.942.203;-36.171
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;123.200.917;11.209;414.122.077;-30.042
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;116.236.126;1.395;463.643.641;-38.171
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;11.046.542;4.821;456.684.453;-31.358
NA;Curillo;NA;NA;Aquatic macroinvertebrates;NA;109.368.665;5.346;440.014.346;-32.892
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;109.597.752;4.836;431.459.397;-34.058
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;12.904.368;8.062;429.693.548;-28.313
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;119.146.251;11.623;434.874.848;-30.542
M11-ISO-18;Mecaya;Ageneiousus brevifilis;Carnivore-piscivore;Fishes;0.260184;14.5;10.18;42.36;-30.32
M25-ISO-147;San Antonio de Getucha;Aphanotorulus unicolor;Primary Consumer;Fishes;8.39E-02;13.57;7.4;43.12;-25.38
M10-ISO-19;Mecaya;Aphanotorulus unicolor;Primary Consumer;Fishes;4.67E-02;14.45;7.5;40.21;-29.93
M17-ISO-76;San Antonio de Getucha;Aphanotorulus unicolor;Primary Consumer;Fishes;2.86E-02;11.85;7.29;45.56;-27.23
M13-ISO-71;Curillo;Aphyocharax alburnus;Invertivore;Fishes;0.140382;12.25;10.2;46.18;-29.34
M17-ISO-85;San Antonio de Getucha;Aphyocharax alburnus;Invertivore;Fishes;0.111946;13.15;9.79;44.33;-25.3
M19-ISO-131;San Antonio de Getucha;Aphyocharax alburnus;Invertivore;Fishes;0.1052;13.32;10.44;45.74;-25.17
M21-ISO-10;San Antonio de Getucha;Apteronotus albifrons;Invertivore;Fishes;0.204474;14.2;8.21;43.64;-28.5
M1-ISO-133;Mecaya;Astyanacinus sp;Invertivore;Fishes;3.57E-02;12.92;9.57;44.23;-27.33
M16-ISO-60;Curillo;Astyanax fasciatus;Omnivore;Fishes;6.48E-02;15.06;5.4;44.58;-28.35
M19-ISO-129;San Antonio de Getucha;Astyanax sp 2;Omnivore;Fishes;6.45E-02;14.39;9.45;43.75;-25.31
M22-ISO-1;Mecaya;Brachyplatystoma vaillantii;Carnivore-piscivore;Fishes;2.278.844;9.19;11.86;49.74;-31.6
M3-ISO-28;Mecaya;Calophysus macropterus;Carnivore-piscivore;Fishes;1.138.424;12;10.81;42.63;-25.1
M25-ISO-142;San Antonio de Getucha;Calophysus macropterus;Carnivore-piscivore;Fishes;0.377254;14.28;10.92;40.56;-26.04
M17-ISO-88;San Antonio de Getucha;Ceratobranchia binghami;Invertivore;Fishes;2.39E-02;12.76;9.11;44.56;-24.29
M19-ISO-121;San Antonio de Getucha;Ceratobranchia elatior;Invertivore;Fishes;4.98E-02;12.1;9.33;45.95;-25.81
M19-ISO-132;San Antonio de Getucha;Ceratobranchia elatior;Invertivore;Fishes;1.22E-02;13.55;9.41;43.61;-25.99
M21-ISO-11;San Antonio de Getucha;Characidium etheostoma;Invertivore;Fishes;0.158334;14.32;9.62;41.86;-28.91
M25-ISO-146;San Antonio de Getucha;Charax sp;Invertivore;Fishes;0.46346;13.49;10.54;42.76;-28.33
M12-ISO-74;Curillo;Cheirodontops sp;Invertivore;Fishes;0.138332;12.86;8.68;44.37;-26.11
M5-ISO-103;Mecaya;Cheirodontops sp;Invertivore;Fishes;4.34E-02;13.46;8.89;45.61;-34.87
M17-ISO-87;San Antonio de Getucha;Cheirodontops sp;Invertivore;Fishes;3.95E-02;12.71;9.11;45.57;-31.69
M17-ISO-86;San Antonio de Getucha;Ctenobrycon hauxwellianus;Invertivore;Fishes;9.53E-03;12.67;8.25;44.76;-26.32
M16-ISO-62;Curillo;Ctenobrycon spilurus;Invertivore;Fishes;9.04E-02;12.6;4.74;46.72;-29.57
M13-ISO-70;Curillo;Eigenmannia trilineata;Invertivore;Fishes;3.01E-02;11.45;9.24;42.23;-28.66
M14-ISO-51;Curillo;Electrophorus electricus;Carnivore-piscivore;Fishes;0.371594;11.52;7.83;34.21;-34.9
M20-ISO-117;San Antonio de Getucha;Gymnocoriumbus sp;Invertivore;Fishes;4.77E-02;13.18;8.25;45.53;-28.12
M11-ISO-44;Mecaya;Hemisorobium platyrhynchos;Carnivore-piscivore;Fishes;0.227892;14.58;10.06;39.36;-31.66
